,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
60,Téléconseiller, Postes et télécommunications ,10,12/03/2024,non spécifié, OUAZZANE,CDD,non spécifié,Bac + 2,(moins de 6 mois),Francais : Courant,non spécifié
61,Analyste-développeur," Edition, imprimerie, reproduction ",1,12/03/2024,18/03/2024, CASA-NOUACER,CI,Avoir un diplôme Technicien Spécialisé en Développement Informatique.,"Technicien spécialisé ,Développement Informatique ",non spécifié,Francais : Bon,non spécifié
62,Vendeur/Vendeuse, Autres ,2,12/03/2024,18/03/2024, KENITRA ,CI,non spécifié,"Baccalauréat ,Lettres modernes (bilingues/arabisées) ",(6 mois - 1 an),Francais : Moyen,non spécifié
63,Enseignant des écoles, Education ,1,12/03/2024,non spécifié, KENITRA ,CDI,non spécifié,"Diplôme du 2ème cycle universitaire ,Etudes françaises ",(1 an - 2 ans),Francais : Courant,non spécifié
64,Enseignant des écoles, Education ,1,12/03/2024,non spécifié, KENITRA ,CDI,non spécifié,"Diplôme du 2ème cycle universitaire ,Mathématiques ",(1 an - 2 ans),Francais : Bon,non spécifié
65,Enseignant des écoles, Education ,1,12/03/2024,non spécifié, KENITRA ,CDI,enseignant d'arabe,"Diplôme du 2ème cycle universitaire ,Littérature arabe ",(1 an - 2 ans),"Arabe : Courant, Francais : Moyen",enseignant d'arabe
66,Ouvrier du batiment installateur en chauffage-climatisation, Services personnels ,2,12/03/2024,18/03/2024, CASA-NOUACER,CI,- Avoir un diplôme en Maçonnerie / Platerie / Electricité / BTP ,non spécifié,non spécifié,Arabe : Langue maternelle,non spécifié
67,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,50,12/03/2024,non spécifié, SKHIRATE TEMARA ,CDD,non spécifié,non spécifié,non spécifié,"Arabe : Bon, Francais : Moyen",CE9 ET PLUS
68,Agent d'accueil, Services auxiliaires des transports ,3,11/03/2024,non spécifié, PLUSIEURS VILLES,CDI,"Chargé de Clientèle sur Casablanca, Fes, Tanger et Oujda","Technicien spécialisé ,Commerce et Gestion ",non spécifié,"Francais : Courant, Anglais : Courant",non spécifié
69,Infirmier de service spécialisé, Santé et action sociale ,2,11/03/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,"Bac + 2 ,Infirmier polyvalent ",non spécifié,non spécifié,*Assister le medecin.
70,Biologiste médical," Captage, traitement et distribution d'eau ",1,11/03/2024,non spécifié, FES,CDI,non spécifié,"Diplôme du 2ème cycle universitaire ,Lst: biologie ",(6 mois - 1 an),Francais : Bon,non spécifié
71,Secrétaire bureautique spécialisé," Captage, traitement et distribution d'eau ",1,11/03/2024,non spécifié, FES,CDI,non spécifié,"Diplôme du 2ème cycle universitaire ,Sciences économiques et de Gestion ",(6 mois - 1 an),Francais : Bon,non spécifié
72,Operateur de production de l’industrie automobile, Services fournis principalement aux entreprises ,30,11/03/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CDD,société sur Casablanca cherche des opératrices de câblage automobiles,Diplôme de qualification professionnelle,(moins de 6 mois),Francais : Bon,non spécifié
73,Réceptionniste/nigth auditeur, Hôtellerie et restauration ,1,11/03/2024,non spécifié, MARRAKACH - MENARA,CDI,"Effectuer toute les tâches en rapport avec le petit déjeuner, de l'accueil du client, le bien être du client.",Certificat d'initiation professionnelle,(6 mois - 1 an),"Anglais : Bon, Espagnol : Notions, Francais : Bon",non spécifié
74,Commercial/Commerciale, Autres ,1,11/03/2024,non spécifié, ESSAOUIRA ,CDD,- Générer et développer les ventes de la société - Prospection - Développement du portefeuille client ,non spécifié,(6 mois - 1 an),"Francais : Bon, Anglais : Moyen, Arabe : Langue maternelle",non spécifié
75,Dessinateur du bâtiment, Services fournis principalement aux entreprises ,1,11/03/2024,non spécifié, OUARZAZATE ,CI,non spécifié,"Technicien ,Dessin de bâtiment ",(6 mois - 1 an),"Arabe : Bon, Francais : Bon",non spécifié
76,Enquêteur, Services fournis principalement aux entreprises ,73,11/03/2024,non spécifié, PLUSIEURS VILLES,CDD,non spécifié,Bac + 2,non spécifié,"Arabe : Bon, Francais : Bon",non spécifié
77,Téléconseiller, Postes et télécommunications ,20,11/03/2024,non spécifié, OUJDA ANGAD UNIVERSITAIRE,Choix Multiple,non spécifié,Baccalauréat,(6 mois - 1 an),Francais : Courant,non spécifié
78,Téléconseiller, Services fournis principalement aux entreprises ,10,11/03/2024,15/03/2024, OUJDA ANGAD UNIVERSITAIRE,Choix Multiple,non spécifié,Baccalauréat,(6 mois - 1 an),Francais : Courant,non spécifié
79,Assistant (e) social (e), Activités associatives ,2,11/03/2024,non spécifié, CHEFCHAOUEN ,CI,non spécifié,Diplôme du 2ème cycle universitaire,(6 mois - 1 an),Arabe : Langue maternelle,non spécifié
80,Enseignant des écoles, Education ,3,11/03/2024,01/04/2024, OUJDA ANGAD UNIVERSITAIRE,CDD,non spécifié,Baccalauréat,non spécifié,"Arabe : Courant, Francais : Courant",non spécifié
81,Médecin généraliste, Santé et action sociale ,12,11/03/2024,non spécifié, ERRACHIDIA ,CI,salaire a négocié lors de l'entretien,non spécifié,non spécifié,"Arabe : Courant, Francais : Courant",non spécifié
82,Vendeur/Vendeuse, Activités immobilières ,7,11/03/2024,non spécifié, RABAT AGDAL,CI,VENTE ,Baccalauréat,non spécifié,Francais : Bon,non spécifié
83,Eléctronicien de maintenance, Industries alimentaires ,3,11/03/2024,non spécifié, LAAYOUNE ,CDD,-Assurer le bon fonctionnement du système de production. -Réaliser les interventions de maintenance. ,"Technicien spécialisé ,Charge (e) de la maintenance des systèmes automatises ",(moins de 6 mois),"Arabe : Langue maternelle, Francais : Moyen",non spécifié
